// GENERATED - do not edit. Run the extractor in docs/tools instead.
// Source: the ACTIVE 'entry viewkick' line of whichever models/weapons/<name>.tik the engine
// actually resolves - main < mainta < maintt < the mod's own tree, LAST wins. The first cut of
// this table took the FIRST copy it found, which handed four weapons Spearhead's numbers: a G43
// with 16 degrees of yaw per shot against the 1.0 its loaded TIK authors.
// name pitchmin pitchmax yawmin yawmax recenter pattern pitchclamp yawclamp scatterpitch mindecay maxdecay
30calportable -1.6 -1.6 -0.8 0.8 3.2 T 10 0.60 12.0 12.0 25.0
arisaka -3.5 -4.0 -1.0 -1.05 2.5 T 5.0 2.0 5 12.0 25.0
arisakasniper -3.5 -4.0 -1.0 -1.05 2.5 T 5.0 2.0 5 12.0 25.0
bar -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_bar1918 -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_bar1918a -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_bar1918a1 -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_bar1918a2 -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_bloody -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_blued -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_camo_desert -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_camo_winter -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_camo_woodland -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_chrome -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_gold -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bar_pabar -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
bazooka 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_bloody 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_blued 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_camo_desert 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_camo_winter 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_camo_woodland 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_chrome 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_gold 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
bazooka_guanbazooka 0 0 -0.05 0.05 56 T 15 15 15 12.0 25.0
berettasilenced -1.0 -1.0 -0.16 0.16 1.2 V 2.8 0.8 1.2 12.0 25.0
carbine -2.5 -2.5 -0.1 -0.1 0.15 T 8.0 8.2 3.6 12.0 25.0
carcanosniper -5.0 -5.0 0.07 0.07 0.5 V 8.0 8.0 12.0 12.0 25.0
colt45 -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_bloody -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_bloodyeic -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_blued -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_camo_desert -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_camo_winter -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_camo_woodland -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_chrome -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_colt1911w -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_coltpa -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_covert -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_drbond -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_gold -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_guancolt -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt45_lv_ttcolt -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
colt_silenced -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_bloody -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_blued -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_camo_desert -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_camo_winter -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_camo_woodland -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_chrome -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
dbno_pistol_gold -1.2 -1.2 -0.2 0.2 1 V 3.0 1.0 1.6 12.0 25.0
delisle -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_bloody -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_blued -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_camo_desert -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_camo_winter -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_camo_woodland -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_chrome -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_gold -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_lv_ttdelisle -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
delisle_lv_wdelisle -1.5 -2 -0.5 -0.5 4.5 T 5 2 5 12.0 25.0
dp28 -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_bloody -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_blued -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_camo_desert -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_camo_winter -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_camo_woodland -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_chrome -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
dp28_gold -1.96 -1.96 -1.2 1.2 3.2 T 10 0.60 12.0 12.0 25.0
enfield -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_bloody -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_blued -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_camo_desert -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_camo_winter -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_camo_woodland -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_chrome -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_gold -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_hobbsenfurb -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_bloody -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_blued -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_camo_desert -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_camo_winter -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_camo_woodland -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_chrome -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lite_gold -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_lv_ttenfield -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfield_p14 -1.5 -2.0 -0.5 -0.5 4.5 T 5.0 2.0 5 12.0 25.0
enfieldsniper -4.5 -5.0 -1.0 1.0 6 T 8 8 8 12.0 25.0
fg42 -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_bloody -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_blued -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_camo_desert -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_camo_winter -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_camo_woodland -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_chrome -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
fg42_gold -2.1 -2.1 -0.2 0.05 3.4 T 12 0.2 2.2 12.0 25.0
g43 -4.5 -5.0 -1.0 1.0 6 T 8 8 8 12.0 25.0
